eye                 	    7
lying               	    8
cake                	    3
currants            	    1
makes               	   11
grow                	   13
can                 	   35
smaller             	    3
creep               	    1
care                	    4
happens             	    5
ate                 	    1
anxiously           	   14
holding             	    3
growing             	   11
surprised           	    7
remained            	    3
same                	   24
sure                	   24
eats                	    1
expecting           	    3
dull                	    3
life                	   11
common              	    1
set                 	   14
work                	    8
ii                  	    1
pool                	   11
curiouser           	    2
forgot              	    2
speak               	   15
english             	    6
opening             	    3
largest             	    1
good-bye            	    1
far                 	   13
shoes               	    7
stockings           	    1
dears               	    3
_                   	    4
sha                 	    6
able                	    1
deal                	   12
myself              	    7
kind                	    7
wo                  	   24
want                	    9
give                	   12
pair                	    5
boots               	    4
christmas           	    1
planning            	    1
carrier             	    1
sending             	    2
presents            	    2
odd                 	    1
directions          	    3
foot                	   10
esq                 	    1
hearthrug           	    1
fender              	    1
love                	    3
nonsense            	    7
struck              	    2
nine                	    5
hopeless            	    1
cry                 	    3
ashamed             	    2
yourself            	   10
stop                	    6
shedding            	    1
gallons             	    1
until               	    5
reaching            	    1
heard               	   30
pattering           	    3
hastily             	   16
dried               	    1
returning           	    1
splendidly          	    1
dressed             	    1
kid                 	    5
gloves              	   11
fan                 	   10
he                  	  125
trotting            	    2
muttering           	    3
himself             	    6
duchess             	   42
savage              	    4
kept                	   13
desperate           	    1
ready               	    8
help                	    9
timid               	    3
voice               	   48
sir                 	    7
violently           	    4
dropped             	    5
skurried            	    1
darkness            	    1
hard                	    8
fanning             	    1
queer               	   10
everything          	   14
to-day              	    3
yesterday           	    3
usual               	    5
changed             	    8
night               	    3
morning             	    5
different           	    9
ah                  	    5
puzzle              	    1
thinking            	   11
age                 	    4
ada                 	    1
hair                	    7
goes                	    7
ringlets            	    2
mine                	    9
does                	   25
ca                  	   28
mabel               	    4
sorts               	    3
knows               	    2
besides             	    4
puzzling            	    4
try                 	   12
used                	   13
times               	    6
five                	    8
twelve              	    4
six                 	    2
thirteen            	    1
seven               	    6
twenty              	    1
multiplication      	    1
signify             	    1
geography           	    1
london              	    1
capital             	    4
paris               	    2
rome                	    2
wrong               	    5
doth                	    3
crossed             	    3
hands               	   12
lap                 	    2
repeat              	    7
sounded             	    5
hoarse              	    3
strange             	    5
crocodile           	    1
improve             	    1
his                 	   96
shining             	    1
tail                	    9
pour                	    1
waters              	    1
nile                	    1
scale               	    1
cheerfully          	    1
seems               	    5
grin                	    6
neatly              	    2
spread              	    3
claws               	    2
welcome             	    1
fishes              	    1
gently              	    3
smiling             	    2
jaws                	    2
live                	    8
poky                	    1
toys                	    1
play                	    8
learn               	    7
stay                	    5
putting             	    3
being               	   19
till                	   21
sudden              	    5
burst               	    1
alone               	    4
done                	   15
measure             	    1
nearly              	   11
guess               	    3
shrinking           	    4
rapidly             	    2
cause               	    3
avoid               	    1
narrow              	    2
escape              	    4
frightened          	    7
change              	   14
existence           	    1
speed               	    1
